rank,category,personName,country,city,source,industries,selfMade,gender,lastName,firstName,finalWorth,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,
282,Technology,Robin Li,China,Beijing,Internet search,Technology,TRUE,M,Li,Robin,7700,1968,11,17,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
282,Service,Liu Yonghao & family,China,Chengdu,Agribusiness,Service,TRUE,M,Liu,Yonghao,7700,1951,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
282,Technology,Henry Samueli,United States,Newport Beach,Semiconductors,Technology,TRUE,M,Samueli,Henry,7700,1954,9,20,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
282,Healthcare,Reinhold Schmieding,United States,Naples,Medical devices,Healthcare,TRUE,M,Schmieding,Reinhold,7700,1955,1,3,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
282,Real Estate,Ivar Tollefsen,Norway,Oslo,Real estate,Real Estate,TRUE,M,Tollefsen,Ivar,7700,1961,6,23,120.27,"$403,336,363,636 ",82.8,23.9,36.2,5347896,
290,Energy,Cao Renxian,China,Hefei,Photovoltaic equipment,Energy,TRUE,M,Cao,Renxian,7600,1968,7,24,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
290,Healthcare,Hasmukh Chudgar & family,India,Ahmedabad,Pharmaceuticals,Healthcare,TRUE,M,Chudgar,Hasmukh,7600,1933,9,19,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
290,Manufacturing,Andrew Currie,United Kingdom,London,Chemicals,Manufacturing,TRUE,M,Currie,Andrew,7600,1955,12,4,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
290,Technology,Joe Gebbia,United States,Austin,Airbnb,Technology,TRUE,M,Gebbia,Joe,7600,1981,8,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
290,Real Estate,Philip Ng,Singapore,Singapore,Real Estate,Real Estate,FALSE,M,Ng,Philip,7600,1959,1,1,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569,
290,Manufacturing,John Reece,United Kingdom,London,Chemicals,Manufacturing,TRUE,M,Reece,John,7600,1957,3,7,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
290,Real Estate,Leonard Stern,United States,New York,Real estate,Real Estate,FALSE,M,Stern,Leonard,7600,1938,3,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
290,Healthcare,Zhong Huijuan,China,Shanghai,Pharmaceuticals,Healthcare,TRUE,F,Zhong,Huijuan,7600,1961,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
299,Sports,Arthur Blank,United States,Atlanta,Home Depot,Sports,TRUE,M,Blank,Arthur,7500,1942,9,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
299,Fashion & Retail,Charles Butt,United States,San Antonio,Supermarkets,Fashion & Retail,FALSE,M,Butt,Charles,7500,1938,2,3,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
299,Fashion & Retail,Ding Shijia,China,Quanzhou,Sports apparel,Fashion & Retail,TRUE,M,Ding,Shijia,7500,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
299,Finance & Investments,"Paul Tudor Jones, II.",United States,Palm Beach,Hedge funds,Finance & Investments,TRUE,M,Jones,Paul Tudor,7500,1954,9,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
299,Finance & Investments,Henry Kravis,United States,New York,Private equity,Finance & Investments,TRUE,M,Kravis,Henry,7500,1944,1,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
299,Food & Beverage,Zhang Yong,Singapore,Singapore,Restaurants,Food & Beverage,TRUE,M,Zhang,Yong,7500,1970,7,1,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569,
305,Technology,James Goodnight,United States,Cary,Software,Technology,TRUE,M,Goodnight,James,7400,1943,1,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
305,Manufacturing,Sri Prakash Lohia,United Kingdom,London,Petrochemicals,Manufacturing,FALSE,M,Lohia,Sri Prakash,7400,1952,8,11,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
305,Fashion & Retail,Ma Jianrong,China,Ningbo,"Textiles, apparel",Fashion & Retail,TRUE,M,Ma,Jianrong,7400,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
305,Real Estate,Robert Ng,Singapore,Singapore,Real estate,Real Estate,FALSE,M,Ng,Robert,7400,1952,1,1,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569,
305,Manufacturing,Steven Rales,United States,Santa Barbara,"Manufacturing, investments",Manufacturing,TRUE,M,Rales,Steven,7400,1951,3,31,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
305,Construction & Engineering,Nassef Sawiris,Egypt,Cairo,"Construction, investments",Construction & Engineering,FALSE,M,Sawiris,Nassef,7400,1961,1,19,288.57,"$303,175,127,598 ",71.8,12.5,44.4,100388073,
305,Food & Beverage,Harry Stine,United States,Adel,Agriculture,Food & Beverage,TRUE,M,Stine,Harry,7400,1941,11,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
312,Manufacturing,Benu Gopal Bangur,India,Kolkata,Cement,Manufacturing,FALSE,M,Bangur,Benu Gopal,7300,1931,6,1,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
312,Metals & Mining,Iskander Makhmudov,Russia,Moscow,"Mining, metals, machinery",Metals & Mining,TRUE,M,Makhmudov,Iskander,7300,1963,12,5,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
312,Fashion & Retail,Anders Holch Povlsen,Denmark,Aarhus,Fashion retail,Fashion & Retail,FALSE,M,Povlsen,Anders Holch,7300,1972,11,4,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553,
312,Logistics,Enrique Razon Jr.,Philippines,Manila,Ports,Logistics,FALSE,M,Razon Jr.,Enrique,7300,1960,3,3,129.61,"$376,795,508,680 ",71.1,14,43.1,108116615,
312,Technology,Wang Laichun,China,Shenzhen,Electronics components,Technology,TRUE,F,Wang,Laichun,7300,1967,6,3,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
317,Finance & Investments,Arthur Dantchik,United States,Gladwyne,"Trading, investments",Finance & Investments,TRUE,M,Dantchik,Arthur,7200,1957,11,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
317,Real Estate,Jeff Greene,United States,Palm Beach,"Real estate, investments",Real Estate,TRUE,M,Greene,Jeff,7200,1954,12,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
317,Finance & Investments,Don Hankey,United States,Malibu,Auto loans,Finance & Investments,TRUE,M,Hankey,Don,7200,1943,6,13,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
317,Energy,Richard Kinder,United States,Houston,Pipelines,Energy,TRUE,M,Kinder,Richard,7200,1944,10,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
317,Finance & Investments,Guillaume Pousaz,United Arab Emirates,Dubai,Fintech,Finance & Investments,TRUE,M,Pousaz,Guillaume,7200,1981,8,15,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529,
317,Fashion & Retail,Takahisa Takahara,Japan,Tokyo,Personal care goods,Fashion & Retail,FALSE,M,Takahara,Takahisa,7200,1961,7,12,105.48,"$5,081,769,542,380 ",84.2,11.9,46.7,126226568,
317,Food & Beverage,Zong Qinghou,China,Hangzhou,Beverages,Food & Beverage,TRUE,M,Zong,Qinghou,7200,1945,10,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
325,Technology,Judy Faulkner,United States,Madison,Healthcare software,Technology,TRUE,F,Faulkner,Judy,7100,1943,8,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
325,Gambling & Casinos,Johann Graf,Austria,Vienna,Gambling,Gambling & Casinos,TRUE,M,Graf,Johann,7100,1947,1,3,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067,
325,Service,Tamara Gustavson,United States,Lexington,Self storage,Service,FALSE,F,Gustavson,Tamara,7100,1961,11,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
325,Manufacturing,Liang Wengen,China,Changsha,Construction equipment,Manufacturing,TRUE,M,Liang,Wengen,7100,1956,12,14,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
325,Healthcare,Frederik Paulsen,Switzerland,Lausanne,Health care,Healthcare,FALSE,M,Paulsen,Frederik,7100,1950,10,30,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
325,Finance & Investments,Wee Cho Yaw,Singapore,Singapore,Banking,Finance & Investments,FALSE,M,Wee,Cho Yaw,7100,1929,1,10,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569,
325,Manufacturing,Zhang Hejun,China,Ningbo,Electronics,Manufacturing,TRUE,M,Zhang,Hejun,7100,1952,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
332,Technology,Marc Benioff,United States,San Francisco,Business software,Technology,TRUE,M,Benioff,Marc,7000,1964,9,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
332,Media & Entertainment,Dmitri Bukhman,United Kingdom,London,Online games,Media & Entertainment,TRUE,M,Bukhman,Dmitri,7000,1985,5,27,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
332,Media & Entertainment,Igor Bukhman,United Kingdom,London,Online games,Media & Entertainment,TRUE,M,Bukhman,Igor,7000,1982,3,29,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
332,Technology,Jack Dangermond,United States,Redlands,Mapping software,Technology,TRUE,M,Dangermond,Jack,7000,1945,7,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
332,Manufacturing,Ashwin Dani & family,India,Mumbai,Paints,Manufacturing,FALSE,M,Dani,Ashwin,7000,1942,10,24,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
332,Fashion & Retail,Ralph Lauren,United States,New York,Apparel,Fashion & Retail,TRUE,M,Lauren,Ralph,7000,1939,10,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
332,Diversified,Rohiqa Cyrus Mistry,India,Mumbai,Diversified,Diversified,FALSE,F,Mistry,Rohiqa Cyrus,7000,1967,6,6,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
332,Diversified,Shapoor Mistry,India,Mumbai,Diversified,Diversified,FALSE,M,Mistry,Shapoor,7000,1964,9,6,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
332,Food & Beverage,J. Christopher Reyes,United States,Hobe Sound,Food distribution,Food & Beverage,TRUE,M,Reyes,J. Christopher,7000,1953,12,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
332,Food & Beverage,Jude Reyes,United States,Palm Beach,Food distribution,Food & Beverage,TRUE,M,Reyes,Jude,7000,1955,9,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
332,Food & Beverage,Don Vultaggio & family,United States,Port Washington,Beverages,Food & Beverage,TRUE,M,Vultaggio,Don,7000,1952,2,26,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
344,Diversified,Edythe Broad & family,United States,Los Angeles,"Homebuilding, insurance",Diversified,FALSE,F,Broad,Edythe,6900,1936,1,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
344,Food & Beverage,Pauline MacMillan Keinath,United States,St. Louis,Cargill,Food & Beverage,FALSE,F,Keinath,Pauline MacMillan,6900,1934,1,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
344,Finance & Investments,Philippe Laffont,United States,New York,Hedge fund,Finance & Investments,TRUE,M,Laffont,Philippe,6900,1967,9,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
344,Technology,Liu Jincheng & family,China,Huizhou,Lithium batteries,Technology,TRUE,M,Liu,Jincheng,6900,1964,9,22,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
344,Real Estate,Igor Olenicoff,United States,Lighthouse Point,Real estate,Real Estate,TRUE,M,Olenicoff,Igor,6900,1942,9,20,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
344,Fashion & Retail,Sandra Ortega Mera,Spain,La Coruna,Zara,Fashion & Retail,FALSE,F,Ortega Mera,Sandra,6900,1968,7,9,110.96,"$1,394,116,310,769 ",83.3,14.2,47,47076781,
344,Healthcare,Ronda Stryker,United States,Portage,Medical equipment,Healthcare,FALSE,F,Stryker,Ronda,6900,1954,5,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Energy,Dannine Avara,United States,Houston,Pipelines,Energy,FALSE,F,Avara,Dannine,6800,1964,3,9,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Diversified,Silvio Berlusconi & family,Italy,Milan,Media,Diversified,TRUE,M,Berlusconi,Silvio,6800,1936,9,29,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396,
352,Gambling & Casinos,Denise Coates,United Kingdom,Stoke-on-Trent,Online gambling,Gambling & Casinos,TRUE,F,Coates,Denise,6800,1967,9,26,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
352,Energy,Scott Duncan,United States,Houston,Pipelines,Energy,FALSE,M,Duncan,Scott,6800,1982,11,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Energy,Milane Frantz,United States,Houston,Pipelines,Energy,FALSE,F,Frantz,Milane,6800,1969,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Finance & Investments,"Edward Johnson, IV.",United States,Boston,Fidelity,Finance & Investments,FALSE,M,Johnson,Edward,6800,1964,11,18,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Finance & Investments,Yuri Milner,United States,Los Altos,Tech investments,Finance & Investments,TRUE,M,Milner,Yuri,6800,1961,11,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Technology,Gordon Moore,United States,Woodside,Intel,Technology,TRUE,M,Moore,Gordon,6800,1929,1,3,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Finance & Investments,John Overdeck,United States,Millburn,Hedge funds,Finance & Investments,TRUE,M,Overdeck,John,6800,1969,12,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Finance & Investments,David Siegel,United States,Scarsdale,Hedge funds,Finance & Investments,TRUE,M,Siegel,David,6800,1961,7,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
352,Diversified,Viktor Vekselberg,Russia,Moscow,"Metals, investments",Diversified,TRUE,M,Vekselberg,Viktor,6800,1957,4,14,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
352,Technology,Wang Laisheng,China,Shenzhen,Electronics components,Technology,TRUE,M,Wang,Laisheng,6800,1964,12,14,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
352,Energy,Randa Duncan Williams,United States,Houston,Pipelines,Energy,FALSE,F,Williams,Randa Duncan,6800,1961,8,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
365,Finance & Investments,Ken Fisher,United States,Dallas,Money management,Finance & Investments,TRUE,M,Fisher,Ken,6700,1950,11,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
365,Finance & Investments,Christopher Hohn,United Kingdom,London,Hedge funds,Finance & Investments,TRUE,M,Hohn,Christopher,6700,1966,10,27,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
365,Manufacturing,Kjeld Kirk Kristiansen,Denmark,Billund,Lego,Manufacturing,FALSE,M,Kristiansen,Kjeld Kirk,6700,1947,12,27,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553,
365,Manufacturing,Sofie Kirk Kristiansen,Denmark,Billund,Lego,Manufacturing,FALSE,F,Kristiansen,Sofie Kirk,6700,1976,1,1,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553,
365,Manufacturing,Thomas Kirk Kristiansen,Denmark,Billund,Lego,Manufacturing,FALSE,M,Kristiansen,Thomas Kirk,6700,1979,1,1,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553,
365,Healthcare,Massimiliana Landini Aleotti & family,Italy,Fiesole,Pharmaceuticals,Healthcare,FALSE,F,Landini Aleotti,Massimiliana,6700,1943,1,1,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396,
365,Automotive,Li Ping,China,Ningde,Batteries,Automotive,TRUE,M,Li,Ping,6700,1968,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
365,Manufacturing,Lin Jianhua,China,Hangzhou,Solar panel components,Manufacturing,TRUE,M,Lin,Jianhua,6700,1962,8,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
365,Manufacturing,Magdalena Martullo-Blocher,Switzerland,Feldmeilen,Chemicals,Manufacturing,FALSE,F,Martullo-Blocher,Magdalena,6700,1969,1,1,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
365,Telecom,Xavier Niel,France,Paris,"Internet, telecom",Telecom,TRUE,M,Niel,Xavier,6700,1967,8,25,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
365,Energy,Terrence Pegula,United States,Boca Raton,Natural gas,Energy,TRUE,M,Pegula,Terrence,6700,1951,3,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
365,Real Estate,"Edward Roski, Jr.",United States,Los Angeles,Real estate,Real Estate,FALSE,M,Roski,Edward,6700,1938,12,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
365,Real Estate,John A. Sobrato & family,United States,Atherton,Real estate,Real Estate,TRUE,M,Sobrato,John A.,6700,1939,5,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
365,Finance & Investments,George Soros,United States,Katonah,Hedge funds,Finance & Investments,TRUE,M,Soros,George,6700,1930,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
365,Technology,David Sun,United States,Irvine,Computer hardware,Technology,TRUE,M,Sun,David,6700,1951,10,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
365,Manufacturing,Agnete Kirk Thinggaard,Denmark,Billund,Lego,Manufacturing,FALSE,F,Thinggaard,Agnete Kirk,6700,1983,5,18,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553,
365,Technology,John Tu,United States,Rolling Hills,Computer hardware,Technology,TRUE,M,Tu,John,6700,1941,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
365,Food & Beverage,Xu Shihui,China,Quanzhou,"Snacks, beverages",Food & Beverage,TRUE,M,Xu,Shihui,6700,1958,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
383,Manufacturing,Rahel Blocher,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,FALSE,F,Blocher,Rahel,6600,1976,1,1,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
383,Food & Beverage,Bubba Cathy,United States,Atlanta,Chick-fil-A,Food & Beverage,FALSE,M,Cathy,Bubba,6600,1954,4,22,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
383,Food & Beverage,Dan Cathy,United States,Atlanta,Chick-fil-A,Food & Beverage,FALSE,M,Cathy,Dan,6600,1953,3,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
383,Food & Beverage,Trudy Cathy White,United States,Hampton,Chick-fil-A,Food & Beverage,FALSE,F,Cathy White,Trudy,6600,1955,12,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
383,Finance & Investments,Bruce Kovner,United States,New York,Hedge funds,Finance & Investments,TRUE,M,Kovner,Bruce,6600,1945,2,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
383,Technology,"Henry Nicholas, III.",United States,Newport Coast,Semiconductors,Technology,TRUE,M,Nicholas,Henry,6600,1959,10,8,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
383,Finance & Investments,Nadia Thiele,Germany,Munich,Investments,Finance & Investments,FALSE,F,Thiele,Nadia,6600,1976,1,7,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
390,Finance & Investments,David Bonderman,United States,Fort Worth,Private equity,Finance & Investments,TRUE,M,Bonderman,David,6500,1942,11,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
390,Technology,Melinda French Gates,United States,Medina,Microsoft,Technology,FALSE,F,French Gates,Melinda,6500,1964,8,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
390,Real Estate,Annette Lerner & family,United States,Chevy Chase,Real estate,Real Estate,FALSE,F,Lerner,Annette,6500,1930,2,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
390,Real Estate,David Reuben,United Kingdom,London,"Investments, real estate",Real Estate,TRUE,M,Reuben,David,6500,1938,9,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
390,Real Estate,Radovan Vitek,Switzerland,Crans Montana,Real estate,Real Estate,TRUE,M,Vitek,Radovan,6500,1971,4,22,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
397,Finance & Investments,Carl Bennet,Sweden,Gothenberg,Investments,Finance & Investments,TRUE,M,Bennet,Carl,6400,1951,8,19,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453,
397,Sports,Stephen Bisciotti,United States,Hobe Sound,"Staffing, Baltimore Ravens",Sports,TRUE,M,Bisciotti,Stephen,6400,1960,4,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
397,Finance & Investments,Stanley Druckenmiller,United States,New York,Hedge funds,Finance & Investments,TRUE,M,Druckenmiller,Stanley,6400,1953,6,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
397,Healthcare,Jian Jun,China,Beijing,Biomedical products,Healthcare,TRUE,F,Jian,Jun,6400,1963,11,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
397,Energy,Alexei Kuzmichev,France,Paris,"Oil, banking, telecom",Energy,TRUE,M,Kuzmichev,Alexei,6400,1962,10,15,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
397,Finance & Investments,Luis Carlos Sarmiento,Colombia,Bogota,Banking,Finance & Investments,TRUE,M,Sarmiento,Luis Carlos,6400,1933,1,27,140.95,"$323,802,808,108 ",77.1,14.4,71.2,50339443,
397,Logistics,Dennis Washington,United States,Missoula,"Construction, mining",Logistics,TRUE,M,Washington,Dennis,6400,1934,7,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
405,Construction & Engineering,Anthony Bamford & family,United Kingdom,Gloucestershire,Construction equipment,Construction & Engineering,FALSE,M,Bamford,Anthony,6300,1945,10,23,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
405,Energy,Gao Jifan & family,China,Changzhou,Solar equipment,Energy,TRUE,M,Gao,Jifan,6300,1965,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
405,Finance & Investments,John Grayken,United Kingdom,London,Private equity,Finance & Investments,TRUE,M,Grayken,John,6300,1956,6,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
405,Healthcare,Alain Merieux & family,France,Lyon,Pharmaceuticals,Healthcare,FALSE,M,Merieux,Alain,6300,1938,1,1,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
405,Energy,Wang Yusuo & family,China,Langfang,Natural gas distribution,Energy,TRUE,M,Wang,Yusuo,6300,1964,3,11,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
405,Manufacturing,Stef Wertheimer & family,Israel,Tel Aviv,Metalworking tools,Manufacturing,TRUE,M,Wertheimer,Stef,6300,1926,7,16,108.15,"$395,098,666,122 ",82.8,23.1,25.3,9053300,
411,Food & Beverage,Maria Asuncion Aramburuzabala & family,Mexico,Mexico City,"Beer, investments",Food & Beverage,FALSE,F,Aramburuzabala,Maria Asuncion,6200,1963,5,2,141.54,"$1,258,286,717,125 ",75,13.1,55.1,126014024,
411,Diversified,Gustaf Douglas,Sweden,Stockholm,Investments,Diversified,TRUE,M,Douglas,Gustaf,6200,1938,3,3,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453,
411,Service,Frits Goldschmeding,Netherlands,Amsterdam,Temp agency,Service,TRUE,M,Goldschmeding,Frits,6200,1933,8,2,115.91,"$909,070,395,161 ",81.8,23,41.2,17332850,
411,Food & Beverage,Lin Muqin & family,China,Shenzhen,Beverages,Food & Beverage,TRUE,M,Lin,Muqin,6200,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
411,Manufacturing,Ruan Liping,China,Ningbo,Power strips,Manufacturing,TRUE,M,Ruan,Liping,6200,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
411,Manufacturing,Ruan Xueping,China,Ningbo,Power strip,Manufacturing,TRUE,M,Ruan,Xueping,6200,1972,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
411,Finance & Investments,Michal Solowow,Poland,Kielce,Investments,Finance & Investments,TRUE,M,Solowow,Michal,6200,1962,7,11,114.11,"$592,164,400,688 ",77.6,17.4,40.8,37970874,
418,Diversified,Mike Adenuga,Nigeria,Lagos,"Telecom, oil",Diversified,TRUE,M,Adenuga,Mike,6100,1953,4,29,267.51,"$448,120,428,859 ",54.3,1.5,34.8,200963599,
418,Finance & Investments,Tom Gores,United States,Beverly Hills,Private equity,Finance & Investments,TRUE,M,Gores,Tom,6100,1964,7,31,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
418,Fashion & Retail,Michael Herz,Germany,Hamburg,Coffee,Fashion & Retail,FALSE,M,Herz,Michael,6100,1943,9,28,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
418,Fashion & Retail,Wolfgang Herz,Germany,Hamburg,Coffee,Fashion & Retail,FALSE,M,Herz,Wolfgang,6100,1951,1,1,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
425,Metals & Mining,Alexander Abramov,Russia,Moscow,"Steel, mining",Metals & Mining,TRUE,M,Abramov,Alexander,6000,1959,2,20,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
425,Real Estate,Neil Bluhm,United States,Chicago,Real estate,Real Estate,TRUE,M,Bluhm,Neil,6000,1938,1,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
425,Fashion & Retail,Alain Bouchard,Canada,Montreal,Convinience stores,Fashion & Retail,TRUE,M,Bouchard,Alain,6000,1949,2,18,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981,
425,Technology,Jay Chaudhry,United States,Reno,Security software,Technology,TRUE,M,Chaudhry,Jay,6000,1959,8,26,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
425,Fashion & Retail,Gopikishan Damani,India,Mumbai,"Retail, investments",Fashion & Retail,TRUE,M,Damani,Gopikishan,6000,1958,1,1,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
425,Diversified,Sumet Jiaravanon,Thailand,Bangkok,Diversified,Diversified,FALSE,M,Jiaravanon,Sumet,6000,1934,11,2,113.27,"$543,649,976,166 ",76.9,14.9,29.5,69625582,
